,Dishwasher,Critical appliances,PV,PV Prediction,Washing Machine,Dynamic Price
2016-05-01 12:00:00,0.0,0.193,0.089,0.11539345687575486,0.374,21.12
2016-05-01 12:15:00,0.0,0.102,0.11,0.12890121736943963,0.146,21.12
2016-05-01 12:30:00,0.0,0.091,0.111,0.10691902908974973,0.019,21.12
2016-05-01 12:45:00,0.0,0.099,0.098,0.08660837147703047,0.025,21.12
2016-05-01 13:00:00,0.017,0.11,0.08,0.08701453816779726,0.004,4.9
2016-05-01 13:15:00,0.319,0.096,0.089,-0.013433735065690303,0.0,4.9
2016-05-01 13:30:00,0.131,0.068,0.092,0.12049836868638075,0.0,4.9
2016-05-01 13:45:00,0.225,0.071,0.102,0.13231322483975605,0.0,4.9
2016-05-01 14:00:00,0.315,0.152,0.08,0.16076417264410142,0.0,-2.46
2016-05-01 14:15:00,0.002,0.151,0.134,0.1256193663948114,0.0,-2.46
2016-05-01 14:30:00,0.0,0.142,0.236,0.2728144191718827,0.0,-2.46
2016-05-01 14:45:00,0.0,0.133,0.395,0.4438659974288519,0.0,-2.46
2016-05-01 15:00:00,0.0,0.135,0.39,0.41621186357985646,0.0,-2.82
2016-05-01 15:15:00,0.0,0.135,0.403,0.45817020094353605,0.0,-2.82
2016-05-01 15:30:00,0.0,0.126,0.144,0.20734306380489115,0.0,-2.82
2016-05-01 15:45:00,0.0,0.257,0.232,0.18935236550474893,0.0,-2.82
2016-05-01 16:00:00,0.0,0.164,0.212,0.17887085250396248,0.0,1.98
2016-05-01 16:15:00,0.0,0.139,0.116,0.19128166175461025,0.0,1.98
2016-05-01 16:30:00,0.0,0.135,0.141,0.1277869024952593,0.0,1.98
2016-05-01 16:45:00,0.0,0.142,0.209,0.19108867184196313,0.0,1.98
2016-05-01 17:00:00,0.0,0.143,0.114,0.0897216822473005,0.0,19.61
2016-05-01 17:15:00,0.0,0.145,0.083,0.0030821946971900244,0.0,19.61
2016-05-01 17:30:00,0.0,0.433,0.068,0.06307664896237072,0.0,19.61
2016-05-01 17:45:00,0.0,0.773,0.043,-0.028956199545333128,0.0,19.61
2016-05-01 18:00:00,0.0,0.473,0.059,0.022080247489755046,0.0,29.65
2016-05-01 18:15:00,0.0,0.45,0.08,0.05489134925538787,0.0,29.65
2016-05-01 18:30:00,0.0,0.292,0.061,0.18836117035130226,0.0,29.65
2016-05-01 18:45:00,0.0,0.535,0.019,0.0493184808829272,0.0,29.65
2016-05-01 19:00:00,0.0,0.257,0.024,0.13324225457388178,0.0,34.51
2016-05-01 19:15:00,0.0,0.115,0.0,-0.02974445360006474,0.0,34.51
2016-05-01 19:30:00,0.218,0.152,0.01,-0.014631237923207053,0.0,34.51
2016-05-01 19:45:00,0.189,0.205,0.0,-0.1183963925820659,0.0,34.51
2016-05-01 20:00:00,0.299,0.219,0.0,0.0026999856832584886,0.0,37.25
2016-05-01 20:15:00,0.176,0.281,0.0,0.042839695266644426,0.0,37.25
2016-05-01 20:30:00,0.35,0.276,0.0,-0.0007245145845038989,0.0,37.25
2016-05-01 20:45:00,0.028,0.259,0.0,-0.02068424565918522,0.0,37.25
2016-05-01 21:00:00,0.002,0.178,0.0,0.030288653790871808,0.0,33.2
2016-05-01 21:15:00,0.0,0.189,0.0,-0.12764272840990712,0.0,33.2
2016-05-01 21:30:00,0.0,0.23,0.0,-0.015816597840044643,0.0,33.2
2016-05-01 21:45:00,0.0,0.309,0.0,0.028870097039923028,0.0,33.2
2016-05-01 22:00:00,0.0,0.331,0.0,0.04217826436194232,0.0,35.18
2016-05-01 22:15:00,0.0,0.321,0.0,0.06478531794344798,0.0,35.18
2016-05-01 22:30:00,0.0,0.308,0.0,0.09348446299966506,0.0,35.18
2016-05-01 22:45:00,0.0,0.307,0.0,-0.08205990523521173,0.0,35.18
2016-05-01 23:00:00,0.0,0.297,0.0,0.024327781825627316,0.0,29.96
2016-05-01 23:15:00,0.0,0.256,0.0,-0.05202468188749118,0.0,29.96
2016-05-01 23:30:00,0.0,0.237,0.0,0.027629445514349912,0.0,29.96
2016-05-01 23:45:00,0.0,0.172,0.0,0.057857220019596325,0.0,29.96
2016-05-02 00:00:00,0.0,0.158,0.0,0.035491101300401916,0.0,31.18
2016-05-02 00:15:00,0.0,0.155,0.0,-0.05470031892753122,0.0,31.18
2016-05-02 00:30:00,0.0,0.168,0.0,-0.024146562150327053,0.0,31.18
2016-05-02 00:45:00,0.0,0.15,0.0,-0.03432587504760101,0.0,31.18
2016-05-02 01:00:00,0.0,0.087,0.0,-0.020037497669644327,0.0,27.67
2016-05-02 01:15:00,0.0,0.09,0.0,-0.09284676595081126,0.0,27.67
2016-05-02 01:30:00,0.0,0.083,0.0,-0.048349979146008484,0.0,27.67
2016-05-02 01:45:00,0.0,0.09,0.0,-0.042150039499056366,0.0,27.67
2016-05-02 02:00:00,0.0,0.08,0.0,0.07266698104909668,0.0,27.21
2016-05-02 02:15:00,0.0,0.089,0.0,0.009546377097868985,0.0,27.21
2016-05-02 02:30:00,0.0,0.089,0.0,0.11242847509235097,0.0,27.21
2016-05-02 02:45:00,0.0,0.085,0.0,0.034143227216023635,0.0,27.21
2016-05-02 03:00:00,0.0,0.091,0.0,-0.015076637963404632,0.0,25.71
2016-05-02 03:15:00,0.0,0.086,0.0,-0.01064210825864432,0.0,25.71
2016-05-02 03:30:00,0.0,0.082,0.0,-0.03418277283942936,0.0,25.71
2016-05-02 03:45:00,0.0,0.091,0.0,0.0796003409889971,0.0,25.71
2016-05-02 04:00:00,0.0,0.084,0.0,-0.01638413818698586,0.0,26.97
2016-05-02 04:15:00,0.0,0.066,0.0,-0.019074263051562332,0.0,26.97
2016-05-02 04:30:00,0.0,0.063,0.0,-0.12250429416270703,0.0,26.97
2016-05-02 04:45:00,0.0,0.063,0.0,-0.01838745266655797,0.0,26.97
2016-05-02 05:00:00,0.0,0.056,0.0,-0.09574266385122374,0.0,31.93
2016-05-02 05:15:00,0.0,0.061,0.0,-0.05296745691660426,0.0,31.93
2016-05-02 05:30:00,0.0,0.063,0.0,-0.02843838544130961,0.0,31.93
2016-05-02 05:45:00,0.0,0.06,0.0,0.03159033230293833,0.0,31.93
2016-05-02 06:00:00,0.0,0.044,0.01,0.05774658755144373,0.0,41.75
2016-05-02 06:15:00,0.0,0.272,0.036,0.05596890265398336,0.0,41.75
2016-05-02 06:30:00,0.0,0.465,0.051,0.043053622719332024,0.0,41.75
2016-05-02 06:45:00,0.0,0.134,0.08,0.06234263841581995,0.0,41.75
2016-05-02 07:00:00,0.0,0.036,0.078,0.1442651131272157,0.0,45.52
2016-05-02 07:15:00,0.0,0.024,0.089,0.10842182488095564,0.0,45.52
2016-05-02 07:30:00,0.0,0.077,0.1,0.11080579014131238,0.0,45.52
2016-05-02 07:45:00,0.0,0.018,0.109,0.07210460188659408,0.0,45.52
2016-05-02 08:00:00,0.0,0.031,0.131,0.05508023609780517,0.0,47.18
2016-05-02 08:15:00,0.0,0.028,0.145,0.13621129608369348,0.0,47.18
2016-05-02 08:30:00,0.0,0.174,0.18,0.08332568204285246,0.0,47.18
2016-05-02 08:45:00,0.0,0.034,0.245,0.2393637840847767,0.0,47.18
2016-05-02 09:00:00,0.0,0.028,0.345,0.4049557930012261,0.0,43.3
2016-05-02 09:15:00,0.0,0.044,0.458,0.375190559419464,0.0,43.3
2016-05-02 09:30:00,0.0,0.029,0.547,0.5224723237285978,0.0,43.3
2016-05-02 09:45:00,0.0,0.03,0.468,0.5138123522505057,0.0,43.3
2016-05-02 10:00:00,0.0,0.021,0.372,0.3229163680309468,0.0,39.7
2016-05-02 10:15:00,0.0,0.027,0.245,0.20788637635984136,0.0,39.7
2016-05-02 10:30:00,0.0,0.032,0.201,0.26026254339206323,0.0,39.7
2016-05-02 10:45:00,0.0,0.027,0.274,0.2299595251514627,0.0,39.7
2016-05-02 11:00:00,0.0,0.024,0.33,0.26214531894813725,0.0,37.32
2016-05-02 11:15:00,0.0,0.031,0.263,0.26544489709987046,0.0,37.32
2016-05-02 11:30:00,0.0,0.023,0.223,0.2045430611943539,0.0,37.32
2016-05-02 11:45:00,0.0,0.042,0.33,0.3115954805971789,0.0,37.32
