,wm,dw,pv_bess,ev,critical
0,0.0,0.0,0,0.0,0.1
1,0.0,0.0,0,0.0,0.12
2,0.0,0.0,0,0.0,0.12
3,0.0,0.0,0,0.0,0.24100000000000002
4,0.0,0.0,0,0.0,0.243
5,0.0,0.0,0,0.0,0.196
6,0.0,0.0,0,0.0,0.245
7,0.0,0.0,0,0.0,0.17
8,0.0,0.0,0,0.0,0.145
9,0.0,0.0,0,0.0,0.105
10,0.0,0.0,0,0.0,0.115
11,0.0,0.0,0,0.0,0.145
12,0.0,0.0,0,0.0,0.115
13,0.0,0.0,0,0.0,0.12
14,0.0,0.0,0,0.0,0.115
15,0.0,0.0,0,0.0,0.096
16,0.0,0.0,0,0.0,0.08800000000000001
17,0.0,0.0,0,0.0,0.10099999999999999
18,0.0,0.0,0,0.0,0.084
19,0.0,0.0,0,0.0,0.071
20,0.0,0.0,0,0.0,0.038
21,0.0,0.0,0,0.0,0.077
22,0.0,0.0,0,0.0,0.042
23,0.0,0.0,0,0.0,0.083
24,0.0,0.0,0,0.5900000000000001,0.16
25,0.0,0.0,0,0.5140000000000001,0.23600000000000002
26,0.0,0.0,0,0.0,0.185
27,0.0,0.0,0,0.0,0.175
28,0.0,0.0,0,0.0,0.222
29,0.0,0.0,0,0.0,0.177
30,0.0,0.0,0,0.0,0.15
31,0.0,0.0,0,0.0,0.124
32,0.0,0.0,0,0.0,0.21100000000000002
33,0.0,0.0,0,0.0,0.265
34,0.0,0.0,0,0.0,0.314
35,0.0,0.0,0,0.0,0.31
36,0.0,0.0,0,0.0,0.28600000000000003
37,0.0,0.0,0,0.0,0.33
38,0.0,0.0,0,0.0,0.314
39,0.0,0.0,0,0.0,0.315
40,0.0,0.0,0,0.0,0.335
41,0.0,0.0,0,0.0,0.26
42,0.0,0.0,0,0.0,0.29
43,0.0,0.0,0,0.0,0.295
44,0.0,0.0,0,0.0,0.245
45,0.0,0.0,0,0.0,0.25
46,0.0,0.0,0,0.0,0.245
47,0.0,0.0,0,0.0,0.235
48,0.0,0.0,0,0.0,0.245
49,0.0,0.0,0,0.0,0.221
50,0.0,0.0,0,0.0,0.209
51,0.0,0.0,0,0.0,0.19
52,0.0,0.0,0,0.0,0.191
53,0.0,0.0,0,0.0,0.168
54,0.0,0.0,0,0.0,0.162
55,0.0,0.0,0,0.5800000000000001,0.17
56,0.0,0.0,0,0.0,0.179
57,0.0,0.0,0,0.0,0.17
58,0.0,0.0,0,0.3877894736842111,0.16
