wm,dw,pv_bess,ev,critical
0.0,0.0,0.12899999999999934,0.0,0.0
0.0,0.0,0.13099999999999934,0.0,0.0
0.0,0.0,0.891,0.0,0.0
0.0,0.0,0.888,0.0,0.0
0.0,0.0,0.15099999999999825,0.0,0.0
0.0,0.0,0.15999999999999903,0.0,0.0
0.0,0.0,0.5780000000000001,0.0,0.302
0.0,0.0,0.8280000000000001,0.0,0.061
0.0,0.0,0.854,0.0,0.047
0.0,0.0,0.83,0.0,0.04
0.0,0.0,0.806,0.0,0.034
0.0,0.0,0.774,0.0,0.045
0.0,0.0,0.741,0.0,0.084
0.0,0.0,0.645,0.0,0.166
0.0,0.0,0.6799999999999999,0.0,0.109
0.0,0.0,0.6890000000000001,0.0,0.092
0.0,0.0,0.675,0.0,0.085
0.0,0.0,0.67,0.0,0.08
0.0,0.0,0.621,0.0,0.129
0.0,0.0,0.605,0.0,0.145
0.0,0.0,0.56,0.0,0.19
0.0,0.0,0.5700000000000001,0.0,0.18
0.0,0.0,0.0,0.0,0.155
0.0,0.0,-0.2250000000000003,0.0,0.225
0.0,0.0,-0.726,1.0,0.47600000000000003
0.0,0.0,-0.675,1.0,0.425
0.0,0.0,-1.0,1.0,0.114
0.0,0.0,-1.0,1.0,0.185
0.0,0.0,-0.7250000000000001,1.0,0.475
0.0,0.0,-1.0,1.0,0.365
0.0,0.0,-0.27,0.0,0.27
0.0,0.0,-0.48,0.0,0.48
0.0,0.0,-0.2049999999999999,0.0,0.205
0.0,0.0,-0.175,0.0,0.175
0.0,0.0,-0.15099999999999997,0.0,0.151
0.0,0.049,-0.183,0.0,0.134
0.0,0.294,-0.47,0.0,0.17600000000000002
0.0,0.228,-0.398,0.0,0.17
0.0,0.154,-0.32399999999999995,0.0,0.17
0.0,0.353,-0.28293749999999157,0.0,0.185
0.0,0.0,-0.22499999999999992,0.0,0.225
0.0,0.0,-0.235,0.0,0.235
0.0,0.0,-0.2,0.0,0.2
0.0,0.0,-0.26899999999999996,0.0,0.26899999999999996
0.0,0.0,-0.19,0.0,0.19
0.0,0.0,-0.235,0.0,0.235
0.0,0.0,-0.235,0.0,0.235
0.0,0.0,-0.16999999999999998,0.0,0.17
0.0,0.0,-0.07099999999999995,0.0,0.071
0.0,0.0,-0.038999999999999924,0.0,0.039
0.0,0.0,-0.040999999999999925,0.0,0.040999999999999995
0.0,0.0,-0.04899999999999993,0.0,0.049
0.0,0.0,-0.05,0.0,0.05
0.0,0.0,-0.040999999999999925,0.0,0.040999999999999995
0.0,0.0,-0.038999999999999924,0.0,0.039
0.0,0.0,-0.038999999999999924,0.0,0.039
0.0,0.0,0.699,0.0,0.051
0.0,0.0,-0.061000000000000165,0.0,0.061
0.0,0.0,-0.060000000000000275,0.0,0.06
0.0,0.0,-0.049000000000000155,0.0,0.049
0.0,0.0,0.0,0.0,0.040999999999999995
0.0,0.0,-0.039000000000000146,0.0,0.039
0.0,0.0,-0.04600000000000026,0.0,0.046
0.0,0.0,-0.04400000000000026,0.0,0.044000000000000004
0.0,0.0,-0.05600000000000027,0.0,0.055999999999999994
0.0,0.0,-0.03400000000000025,0.0,0.034
0.0,0.0,-0.04100000000000015,0.0,0.040999999999999995
0.0,0.0,-0.039000000000000146,0.0,0.039
0.0,0.0,-0.04100000000000015,0.0,0.040999999999999995
0.0,0.0,-0.049000000000000155,0.0,0.049
0.0,0.0,-0.051000000000000156,0.0,0.051
0.0,0.0,-0.039000000000000146,0.0,0.039
0.0,0.0,-0.04100000000000015,0.0,0.040999999999999995
0.0,0.0,-0.039000000000000146,0.0,0.039
0.0,0.0,-0.04100000000000015,0.0,0.040999999999999995
0.0,0.0,-0.17500000000000027,0.0,0.175
0.0,0.0,-0.17400000000000015,0.0,0.174
0.0,0.0,-0.0950000000000002,0.0,0.095
0.0,0.0,-0.08500000000000019,0.0,0.085
0.0,0.0,0.0,0.0,0.15
0.0,0.0,-0.581,0.0,0.581
0.0,0.0,-0.495,0.0,0.505
0.0,0.0,0.0,0.0,0.10300000000000001
0.0,0.0,0.5152354570637118,0.0,0.04
0.0,0.0,-0.008999999999999897,0.0,0.04
0.051,0.0,-0.024999999999999998,0.0,0.004
0.47700000000000004,0.0,-0.43100000000000005,0.0,0.0
0.359,0.0,0.0,0.0,0.0
0.025,0.0,0.04599999999999999,0.0,0.0
0.025,0.0,0.055,0.0,0.0
0.026000000000000002,0.0,0.064,0.0,0.0
0.024,0.0,0.056,0.0,0.0
0.026000000000000002,0.0,0.07300000000000001,0.0,0.0
0.022000000000000002,0.0,-0.05800000000000004,0.0,0.14800000000000002
0.023,0.0,-0.204,0.0,0.31
0.040999999999999995,0.0,0.8390000000000001,0.0,0.0
0.0,0.0,0.12899999999999956,0.0,0.0
0.0,0.0,0.131,0.0,0.0
0.0,0.0,0.891,0.0,0.0
0.0,0.0,0.75,0.0,0.139
0.0,0.0,-0.23099999999999993,0.0,0.381
0.25,0.0,0.508,0.0,0.152
0.358,0.0,0.522,0.0,0.0
0.023,0.0,0.673,0.0,0.19399999999999998
0.024,0.0,0.35600000000000004,0.0,0.52
0.024,0.0,0.53,0.0,0.311
0.024,0.0,0.646,0.0,0.141
0.024,0.0,0.737,0.0,0.08800000000000001
0.026000000000000002,0.0,0.7219999999999999,0.0,0.08199999999999999
0.021,0.0,0.7,0.0,0.1
0.024,0.0,0.686,0.0,0.084
0.212,0.0,0.43200000000000005,0.0,0.125
0.405,0.0,0.23599999999999993,0.0,0.131
0.243,0.0,0.387,0.0,0.12
0.0,0.0,0.5589999999999999,0.0,0.191
0.0,0.0,0.526,0.0,0.22399999999999998
0.0,0.0,0.515,0.0,0.235
0.0,0.0,0.435,0.0,0.315
0.0,0.0,0.41500000000000004,0.0,0.335
0.0,0.0,0.0,0.0,0.561
0.0,0.0,-0.7090000000000001,1.0,0.45899999999999996
0.0,0.0,-0.5409999999999999,1.0,0.29100000000000004
0.0,0.0,-1.0,1.0,0.255
0.0,0.0,-1.0,1.0,0.25
0.0,0.0,-0.5589999999999997,1.0,0.309
0.0,0.0,-1.0,1.0,0.29
0.0,0.0,-0.29,0.0,0.29
0.0,0.0,-0.29,0.0,0.29
0.0,0.0,-0.321,0.0,0.321
0.0,0.0,-0.539,0.0,0.539
0.0,0.0,-0.475,0.0,0.475
0.0,0.0,0.0,0.0,0.43
0.0,0.0,-0.505,0.0,0.505
0.0,0.0,-0.24,0.0,0.24
0.0,0.0,-0.24,0.0,0.24
0.0,0.0,0.5,0.0,0.25
0.0,0.0,-0.25,0.0,0.25
0.0,0.0,-0.22599999999999992,0.0,0.226
0.0,0.0,-0.1889999999999999,0.0,0.18899999999999997
0.0,0.0,0.3877285318559566,0.0,0.161
0.0,0.0,-0.16499999999999998,0.0,0.165
0.0,0.0,-0.174,0.0,0.174
0.0,0.0,-0.16499999999999998,0.0,0.165
0.0,0.0,0.0,0.0,0.18
0.0,0.0,-0.2049999999999999,0.0,0.205
0.0,0.0,0.0,0.0,0.191
0.0,0.0,-0.16999999999999998,0.0,0.17
0.0,0.0,-0.184,0.0,0.184
0.0,0.0,-0.185,0.0,0.185
0.0,0.0,-0.175,0.0,0.175
0.0,0.0,-0.177,0.0,0.177
0.0,0.0,0.0,0.0,0.158
